segment_hash	segment
c643618c8eec8e500ae59db89f6c76a9	anti-choicers claim it will invoke depression and possibly even post-traumatic stress disorder
33d4260e6a229e3928da88bd9ee3d825	"pro-choice"" is a misnomer because the child does not have a choice"
0cdd4736d0e81edda13668176f00ecb8	oppose any choice for the father
5f4d9bc81a4a3caad98ece753e8cdb70	It is undisputed that a woman's first full-term pregnancy reduces her risk of breast cancer
1ddbf096f4dd4d09accc235a34198aeb	5% of pregnancy-related maternal deaths are due to postabortion complications
bb7f71d21ec2ac150e31fc0ab9ff1bde	You're exposing yourself to judgment and stigma from your friends, family, and community
63ac573c94ad10b19df4b40ddb162b26	"if a girl is foolish enough to not have protected sex,"" she is most likely immature"
06a073318a558ee97698354196dcdb89	women who have more than one abortion are no different to those who have one abortion
4bdb4d7bab6e32fe140d1345727bc96c	they are no less likely to use contraception, and are certainly not using abortion as a means of contraception
7e2ce48d6683db0d3b65fa3b70e2b758	it is safe to take the pill even if you are only 19 years old
91b8b10c67e8b5a8e01163c9d27fb9e2	countries with the highest abortion rates have, sadly, the staunchest pro-life policies
219f754ec54c0320b84b174000cb30e3	abortion does not pose a hazard to women's mental health
c9250e1cf19660c0b06de665627daff1	laws against abortion would deter most women from having one
8113aa5c3a7b19fe16e2562e01d9705d	The vast majority of abortions have no complications at all
b0eda1e00441ffd815079b35ce674814	abortion is considered many times safer than childbirth
4423f0b556c72bc63edc3aede967b297	oppose banning late-term abortion
9c600baa75d4da28b1e069a544c50fbd	laws requiring that women be informed of the health risks they face from abortion
1da0d748d1c97db2bc36a26eea5d31c3	Just as a murderer will pay for his crimes, so will anyone who kills another without just cause
760495b1448c621ccd20c56ace477191	millions of Indian women undergo unsafe abortions each year, risking injury and death
8e4e614bc65f5a9b192bbd0d9f106131	Improving sex education, promoting access to safe and effective contraception, and removing economic and geographic barriers to early abortion can help to reduce the number of late abortions
bfb73d26d624fe0411d90663474c8be3	the right of privacy allows women to be free of governmental interference in decisions about childbearing
79eabb7f5910296bdca65aae96d30083	the death rate from abortion is extremely low
3f0e9a5ba83512fa20df7d69a807d1c5	Prohibiting abortion will prevent innocent babies from being deprived of life
b7018cee1d6c79072ede2402ce290a7b	nations with more liberal abortion laws tend to see fewer health consequences from unsafe abortion
c9bc08f7da40db9799e6d656abd36658	restricting access to abortion and reproductive health care does not reduce incidents of abortion
ea4e4dba710b06255b76a62dc30a6f1c	Women have abortions because they care about themselves and their families or their future families
8625df3964ccd253baa4548a40a9879d	It performed without any surgical instruments, which may harm the cervix lining and cause serious internal perforations and injuries
18dc63d8d39674c39088d4c45003592c	abortion is now safer than ever
fea67f8d66f6d358fbf891aefdf09fc4	abortion may increase a woman's lifetime risk of breast cancer
10c8ad9774a0d843f0e33ea4e43d65ee	The normalization of abortion within the practice of medicine would be a tragedy beyond words - the embrace of death within a profession dedicated to life
53d3bfc54035d1d8fc7639671f57e109	Abortion is one of the safest surgical procedures for women
5e0c8c781d161e3764db16cf7fec945f	every medical procedure has certain risks and possible complications
14f9518aea1aa7150ce1f302e44bd371	Parents, when given loving support, freedom from abandonment and careful counsel as to clinical expectations, will choose the alternative of perinatal hospice
3174978fe1ae37e2b70533a8cc9f96d4	An unborn baby was the property of the owner (mother) and she could have the baby killed at her request because of her health
e3fff1a43ba863f4d15153dadd0c4c41	"women continue to die from so-called ""safe, legal"" abortions"
685dfd99c7dc773d5097a36341b04177	abortion is unsafe and hurts women - legal or otherwise
322f4057fc3427194eb9036a759a3511	abortion causes breast cancer, psychological problems, and infertility
4dcbdd0b5df1eb2a9ed0ac45ac237617	back-alley shops and do-it-yourself techniques, with their many health risks
f69abef5307bb44d02fd4551dc84264d	legality of abortion has a huge influence on a woman's willingness to have an abortion
83d5c537cb232ba0444a930cc62bc150	that she'll never know that you really love her and would have [supported her and the child
5cd840227e02656f83e22b845d0db554	It is only women with fiscal resources who are able to travel the long distances to another state or country for safe abortion care
404a6a1f71c516a4eab99b7ba688f8d6	new restrictions have led 21 licensed abortion facilities to close, leaving 20 in operation and forcing more women to drive hundreds of miles or attempt self-abortion
6d0e4e7ce1a939b6178d886e1e43d03c	abortion is killing
6b9adc76b88f81700ed3d3952dae4934	Having an abortion will help our relationship by removing the stress of a pregnancy
69a12dbf2a5754cf5fc8e05a5e80217a	Abortion preserves a womans constitutional right, relieves the undesired child of future distress, and establishes a peaceful society
db24bb854179b73c1e83a813d503d09e	the fetus has a right to life
03fd5af4bf0660eff4e79cb78c8b22f4	can cause serious internal injuries without necessarily succeeding in inducing miscarriage
