sentence_hash	sentence
073f602df27f20ff304f13db81f095ae	In order to dissuade women from abortion, anti-choicers claim it will invoke depression and possibly even post-traumatic stress disorder.
dbdb2534072e8150e3c2e18bc636a9fa	"Conservatives believe that the label ""pro-choice"" is a misnomer because the child does not have a choice and pro-aborts typically oppose any choice for the father."
c9d7e9f0336c3d138125278281a1e1a5	Breast cancer: It is undisputed that a woman's first full-term pregnancy reduces her risk of breast cancer.
543fc18cfe1622c03110e35fa69b072b	Little is known about the extent of maternal mortality and the health risks associated with unsafe abortions in Iran; according to one indirect estimate, 5% of pregnancy-related maternal deaths are due to postabortion complications.
47f9b666094371e822e8e340add78b48	You're exposing yourself to judgment and stigma from your friends, family, and community.
c954f9e11302415be467bb213aa135bb	"Additionally, ""if a girl is foolish enough to not have protected sex,"" she is most likely immature seeing as thesauruses consider the ""foolish"" and immature to be synonyms."
8aee5daf0d455e1850b69f08f13e371c	Research on repeat abortion suggests that women who have more than one abortion are no different to those who have one abortion: they are no less likely to use contraception, and are certainly not using abortion as a means of contraception.
b6271b53f2d3866ccf6e03dd6b758607	it is safe to take the pill even if you are only 19 years old...
95981040a6bc80274693a2028430bad1	Then pro-life Americans could discover that countries with the highest abortion rates have, sadly, the staunchest pro-life policies.
de268875c449efe0d9293a3dac5f6650	In repeated studies since the early 1980s, leading experts have concluded that abortion does not pose a hazard to women's mental health.
9dd65e9d728137e206c68a6a6d5b70ce	Second, laws against abortion would deter most women from having one.
6436fc3bd18e66a798d83db37f5dbcfa	The vast majority of abortions have no complications at all, and abortion is considered many times safer than childbirth.
d63c1d2523a901340e263b3972693dd5	But abortion advocates oppose banning late-term abortion as well as laws requiring that women be informed of the health risks they face from abortion.
8e6d202f9d56417429ed38d51409af70	Just as a murderer will pay for his crimes, so will anyone who kills another without just cause be punished by god and society.
c53ac0b99bb017145dc395c6859cd0ed	The Issue Given the lack of easily accessible and trained providers, millions of Indian women undergo unsafe abortions each year, risking injury and death.
2791b90bc92ee599b8aafd891b56e76a	Improving sex education, promoting access to safe and effective contraception, and removing economic and geographic barriers to early abortion can help to reduce the number of late abortions.
8bbdfe9ca2a8abc47e418b5571ce1d2e	The Supreme Court, in 1976, reaffirmed that the right of privacy allows women to be free of governmental interference in decisions about childbearing.
1604a6364edd9c67c361d1245c020f1b	Today, abortion is one of the most commonly performed clinical procedures in the United States, and the death rate from abortion is extremely low: 0.
268fb3849cde3f57be176608f5ac4e44	Prohibiting abortion will prevent innocent babies from being deprived of life.
00212ee0a6b0d132d4e5e4cc7dfbfb92	Regarding fatalities, the study said nations with more liberal abortion laws tend to see fewer health consequences from unsafe abortion.
56fee84d80d547cd3fbf307e6b87d9bd	Miracle, who attended the Jan. 24 news conference with Antonio, said The Lancet study and others support Antonio's general claim - that restricting access to abortion and reproductive health care does not reduce incidents of abortion.
d91801012292ac3c6ff13e10c101ad6c	Medical abortion can expand access to safe abortion care, especially in restrictive or low-resource settings that lack other safe options.
2ef4c72c1384b67e568e4c9cd5140db2	Women have abortions because they care about themselves and their families or their future families.
09b22d5e8ea84dd3485409f2985fbf4d	Advantages of a Medical Abortion - It performed without any surgical instruments, which may harm the cervix lining and cause serious internal perforations and injuries.
3704e267fd83626149746f848656bb09	Due to the great improvements in medicine, abortion is now safer than ever.
f8e42447401d9b9c4c1bd1e8c97c0c87	Numerous studies show that abortion may increase a woman's lifetime risk of breast cancer.
dbc6958e0fd7aee170241ccd0bfe242c	The normalization of abortion within the practice of medicine would be a tragedy beyond words - the embrace of death within a profession dedicated to life.
e0e79956a592a5cd87578f317f981594	Abortion is one of the safest surgical procedures for women; however, every medical procedure has certain risks and possible complications.
5b4aa92e8ed7d890ebce0d78e44ad913	Hope for the Helpless Parents, when given loving support, freedom from abandonment and careful counsel as to clinical expectations, will choose the alternative of perinatal hospice, however brief that time may be.
53479826ce5a8a8665f5aa03b77fdd76	An unborn baby was the property of the owner (mother) and she could have the baby killed at her request because of her health (social distress).
abfd4844f0a3eb2a7addeda546dcb215	"women continue to die from so-called ""safe, legal"" abortions (perhaps in greater numbers than we know) is a clear indication that abortion is unsafe and hurts women - legal or otherwise."""
426a29ac1118b81c795b7b37acef7dc9	Some of the deceptive information about abortion includes: the claim that abortion causes breast cancer, psychological problems, and infertility.
2aff6739d33d5668d3a4165f02214a48	If legal abortions were not available, some pro-choice supporters say, back-alley shops and do-it-yourself techniques, with their many health risks, as well as the birt ...
982e932af5b5fea00d1ae014e3f346ec	Even if we assume that they have a sincere desire to eliminate abortion, history shows us that the legality of abortion has a huge influence on a woman's willingness to have an abortion.
d583dbbd16c1cfa32ace9ab536062039	But no, now the tragic Supreme Court Decision can guarantee that she'll never know that you really love her and would have [supported her and the child]
26ade697c6997e1e290fd6e9ff5c0e68	It is only women with fiscal resources who are able to travel the long distances to another state or country for safe abortion care.
