topic,stance,sentence
0,0,anti-choicers claim it will invoke depression and possibly even post-traumatic stress disorder
0,0,"pro-choice"" is a misnomer because the child does not have a choice"
0,0,oppose any choice for the father
0,0,It is undisputed that a woman's first full-term pregnancy reduces her risk of breast cancer
0,0,5% of pregnancy-related maternal deaths are due to postabortion complications
0,0,"You're exposing yourself to judgment and stigma from your friends, family, and community"
0,0,"if a girl is foolish enough to not have protected sex,"" she is most likely immature"
0,1,women who have more than one abortion are no different to those who have one abortion
0,1,"they are no less likely to use contraception, and are certainly not using abortion as a means of contraception"
0,0,it is safe to take the pill even if you are only 19 years old
0,0,laws against abortion would deter most women from having one
0,1,The vast majority of abortions have no complications at all
0,1,abortion is considered many times safer than childbirth
0,0,"Just as a murderer will pay for his crimes, so will anyone who kills another without just cause"
0,1,"millions of Indian women undergo unsafe abortions each year, risking injury and death"
0,1,the right of privacy allows women to be free of governmental interference in decisions about childbearing
0,1,the death rate from abortion is extremely low
0,0,Prohibiting abortion will prevent innocent babies from being deprived of life
0,1,Women have abortions because they care about themselves and their families or their future families
0,1,"It performed without any surgical instruments, which may harm the cervix lining and cause serious internal perforations and injuries"
0,0,abortion may increase a woman's lifetime risk of breast cancer
0,1,Abortion is one of the safest surgical procedures for women
0,0,every medical procedure has certain risks and possible complications
0,0,"Parents, when given loving support, freedom from abandonment and careful counsel as to clinical expectations, will choose the alternative of perinatal hospice"
0,1,An unborn baby was the property of the owner (mother) and she could have the baby killed at her request because of her health
0,0,"women continue to die from so-called ""safe, legal"" abortions"
0,0,abortion is unsafe and hurts women - legal or otherwise
0,1,"back-alley shops and do-it-yourself techniques, with their many health risks"
0,0,legality of abortion has a huge influence on a woman's willingness to have an abortion
0,0,that she'll never know that you really love her and would have [supported her and the child
0,1,It is only women with fiscal resources who are able to travel the long distances to another state or country for safe abortion care
0,1,"new restrictions have led 21 licensed abortion facilities to close, leaving 20 in operation and forcing more women to drive hundreds of miles or attempt self-abortion"
0,0,abortion is killing
0,1,Having an abortion will help our relationship by removing the stress of a pregnancy
0,1,"Abortion preserves a womans constitutional right, relieves the undesired child of future distress, and establishes a peaceful society"
0,0,the fetus has a right to life
0,0,can cause serious internal injuries without necessarily succeeding in inducing miscarriage
0,0,"In order to make laws to protect their lives, it is necessary to determine when their lives begin"
0,1,women attempting self-abortion were likely to have had a death wish at the time of the abortion
0,0,Every reasonable effort should be made to save the lives of both mother and prenatal
0,1,"If abortion is deemed unethical, the fetuses with congenital disabilities are forced to live painful lives, thus challenging their own and their families' well-being"
0,0,"serious risks are involved, as well as pyschological problems that arise as the result of having an abortion, not to mention the long-term effects"
0,0,What the Supreme Court legalized in some clinics in Chicago is the highly profitable and very dangerous back-room abortion
0,1,"there has been a drop in the number of abortion providers, but those changes had absolutely no effect on abortion rates"
0,1,"Grief lessens as time passes and parents rest secure in the knowledge that they shared in their baby's life, treating the child with the same dignity as a terminally ill adult"
0,0,abortion itself kills a living human being
0,1,first trimester aspiration abortions produce fewer and less serious complications than maintaining a pregnancy and giving birth
0,0,"the doctors and abortion advocates are playing God and ""saying that human beings born with physical and mental disabilities are not fit to live"
0,0,Some post-abortive people live in fear that children they had before or after the abortion could easily die
0,0,"That could mean abandoning friendships and family, particularly if these individuals were part of their abortion experience"
0,1,the current death rate due to abortion in the US is very low
0,0,innocent & helpless children are killed by abortion every day
0,0,very serious complications may be fatal
0,0,"of the large number of women who have ended up hospitalized with hemorrhages, ruptured ectopic pregnancies, or serious infections, which have proven deadly on occasion"
0,1,tens of thousands of women lost their lives annually from criminal abortion
0,0,Choosing abortion can be a traumatic experience for everyone involved
0,1,the availability of medication abortion has not led to more women having abortions
0,1,Greater sensitivity to and awareness of this experience could help to reduce stigma among both patients and health care professionals
0,0,Abortion pain can exist with those men who may have never lost a child to abortion but are married to a post-abortive woman
0,0,"The choice to have an abortion is not only immoral and murder, but it can lead to negative effects on the mothers psychological, physical, and spiritual well being"
0,0,advances in standard medical care that saves mothers' lives
0,1,"Although a concerted effort to convince the public the 'postabortion trauma there is a widespread and serious, there is no scientific evidence of such trauma"
0,0,abortion is highly stressful context of unwanted pregnancy
0,0,greatly reduced the number of pregnancy-related injury and death
0,0,One study found that at least 19 percent of women who abort suffer from diagnosable post-traumatic stress disorder
0,1,"For the local freestanding abortion facility in your community, with far inferior quality of care, the number of such infections will be at least double that of such a medical center"
0,0,Abortion advocates have gone to great lengths to discredit the evidence linking abortion and breast cancer
0,1,"Without this alternative, a woman may be forced into giving birth to a child and forcefully condemned into taking up responsibilities in the family and society that she may be unwilling to shoulder"
0,1,The risk of death from medication abortion is much less than from a full-term pregnancy or childbirth
0,1,"women faced with an unplanned, unwanted pregnancy should be able to choose an abortion"
0,0,a number of US doctors have been quoted as expressing serious concerns about the safety of medical abortions and some have actually stopped providing medical abortions altogether
0,1,"In countries where abortion has been legal for years, there is no evidence that respect for life has diminished or that legal abortion leads to killing of any persons"
0,1,Prenatal testing should include giving the patient the choice to keep or terminate her pregnancy after being given detrimental news about her pregnancy
0,0,abortion has a greater and more substantial harmful impact on adolescents compared with older women
0,1,abortion is often a good thing
0,1,They want no more children They cannot afford to raise a child They are unmarried or still in school Their partners does not want the pregnancy
0,0,"the claim that legalized abortion will save women from ""unsafe abortions"" is without merit"
0,1,medical abortion is not so disruptive as to be unacceptable
0,1,the availability of medical abortion may both allow and motivate women to obtain abortions at earlier gestations
0,1,Women in Texas Are Turning to Black-Market Abortion Drugs
0,1,restrictions are making it harder and harder to obtain an abortion in Texas
0,1,"If none of these conditions is met, a woman who wants to terminate her unwanted pregnancy must resort to a clandestine and possibly unsafe abortion"
0,1,Provides exceptions for pregnancies resulting from rape or incest; or life-endangering maternal condition
0,0,"This method can cause infection or injury to internal organs (for example perforating the uterus or intestines), resulting in death"
0,0,many are unsafe and can result in serious maternal complications or death
0,0,"a statute may create ""a presumption of viability"" after a certain number of weeks, in which case the physician must be given an opportunity to rebut the presumption by performing tests"
0,0,"As the Bible says ""Do unto others what you would have them do unto you; do not do or say unto others what you would not want done or said unto you"
0,1,It has become increasingly difficult to obtain the cooperation of some abortion providers due to fear of antiabortion harassment
0,0,Women Three Times More Likely to Die After Abortion
0,1,"Measures that are preventative as opposed to punitive contribute to reducing the rate of unintended pregnancies and, concomitantly, the abortion rate"
0,0,"there is no evidence that abortion helps a woman's mental health, which it can indeed harm"
0,1,There are no long term health effects of abortion
0,1,it's correlated to breast cancer have been repeatedly shown to be false
0,0,Intracardiac injection is also used in late term abortions when there is likelihood of delivering a live baby
0,1,"When women are denied the rights to control their fertility, it will lead to an unsafe abortion"
0,0,abortion could cause cancer
0,0,abortion would lead to birth of an abnormal child in future
0,0,deaths resulting from illegal abortions were underreported
0,0,deaths resulting from legal abortions are underreported
0,0,Once habitual it becomes easier is something all serial killers claim
0,0,A loving man who tried to prevent the abortion endures additional trauma in being emasculated by the inability to protect his unborn child in the womb
0,0,"many of these adolescent patients, in whom complications develop, do not return to the physician who did the abortion"
0,0,3% of abortion patients within the Usa experience a complication that needs hospitalization
0,0,"They are also risky, and can sometimes have an effect on you later on in life"
0,1,there were not several thousand women losing their lives due to illegal abortions performed by quack doctors
0,1,limited access has resulted in unsafe abortion becoming one of the leading causes of maternal mortality in India
0,1,Unsafe abortion is common in places where abortion is illegal
